Bahnhof               | id 
----------------------|------------
Abens Abens | de:09178:3110
Aberl Aberl | de:09174:7345
Abersdorf (Kr EBE) Abersdorf (Kr EBE) | de:09175:4308
Abrain (Kr TÖL) Abrain / Hintersberg | de:09173:9365
Achering Acheringer Hauptstraße | de:09178:2871
Achering Milanweg | de:09178:2881
Achmühle (Kr TÖL) Achmühle | de:09173:4796
Adelshofen (Kr FFB) Adelshofen | de:09179:6412
Adelshofen (Kr FFB) Sportplatz | de:09179:6229
Affalterbach (Obb.) Affalterbach | de:09186:8185
Agg (Kr Mühldorf) Agg | de:09183:80795
Aham (Kr Erding) Aham | de:09177:3780
Aicha (Kr Mühldorf) Aicha (Kr Mühldorf) | de:09183:80611
Aichat (Obb.) Aichat | de:09175:4147
Aich (bei Moosburg) Postmeister | de:09178:5965
Aich (bei Moosburg) Raiffeisenbank | de:09178:5966
Aich (FFB) Dorfstraße | de:09179:6404
Aich (FFB) Pucher Weg | de:09179:6403
Aich (FFB) Schlossbergstraße | de:09179:6317
Aich (FFB) Weilerweg | de:09179:6218
Aich (Isen) Aich (Kr ED) | de:09177:9691
Aich (Oberpframmern) Aich | de:09175:4203
Aiglsdorf Aiglsdorf, Abzw. | de:09178:3029
Aiglsdorf Aiglsdorf | de:09178:3049
Ainhofen (Obb.) Ainhofen | de:09174:7250
Airischwand Airischwand, Abzw. | de:09178:3237
Aiterbach (Kr Freising) Aiterbach, Abzw. | de:09178:2873
Aiterbach (Kr Freising) Aiterbach | de:09178:2802
Aitersteinering Keltenstraße | de:09175:3988
Aitersteinering Salzburg | de:09175:4143
Albersbach (Markt Indersdorf) Albersbach, Abzw. | de:09174:6913
Albertshofen (Obb.) Albertshofen, Ort | de:09179:6426
Albertshofen (Obb.) Kreisstraße | de:09179:6429
Albertshof (Weichs) Albertshof, Abzw. | de:09174:7247
Alberzell Alberzell | de:09186:8522
Allenberg Allenberg | de:09771:2336
Allershausen (Obb.) Glonnterrassen | de:09178:2663
Alling (Obb.) Gagers | de:09179:6603
Alling (Obb.) Griesstraße | de:09179:6384
Alling (Obb.) Hoflacher Straße | de:09179:6380
Alling (Obb.) Holzhausen | de:09179:6387
Alling (Obb.) Holzkirchen | de:09179:6381
Alling (Obb.) Naßlhof | de:09179:6383
Alling (Obb.) Neuried | de:09179:6397
Alling (Obb.) Parsbergstraße | de:09179:6385
Alling (Obb.) Sportplatz | de:09179:6382
Alling (Obb.) Weidenlohstraße | de:09179:5341
Allmannsberg (Kr Rosenheim) Allmannsberg | de:09187:41334
Allmannshausen Allmannshausen | de:09188:5468
Alsdorf (Wolfersdorf) Alsdorf | de:09178:3092
Alsdorf (Wolfersdorf) Badendorf | de:09178:3083
Altdorf (Haag/Obb.) Altdorf (Haag/Obb.) | de:09183:6248
Altenerding Altenerding | de:09177:3280
Altenhausen (Freising) Altenhausen | de:09178:9712
Altfalterbach Altfalterbach | de:09178:3221
Altfalterbach Schwaig | de:09178:3223
Altham (Kr Erding) Altham, Ort | de:09177:3375
Altham (Kr Erding) Institut | de:09177:3371
Althegnenberg Althegnenberg | de:09179:6530
